Job Title,Skills,Salary Range,Companies,Description
AI Engineer,"Python, Deep Learning, TensorFlow, Machine Learning, Neural Networks","₹8L - ₹25L per year","Google, Microsoft, Amazon, OpenAI, Flipkart","Design and build AI-powered systems and models that solve real-world problems."
Data Scientist,"Python, SQL, Machine Learning, Statistics, Data Analysis, Pandas","₹7L - ₹20L per year","Amazon, Flipkart, Zomato, IBM, Accenture","Analyze large datasets to extract insights and build predictive models."
Backend Developer,"Java, Spring Boot, APIs, SQL, REST, Microservices","₹6L - ₹18L per year","Infosys, TCS, Wipro, HCL, Capgemini","Build and maintain server-side logic, databases, and APIs for applications."
Data Analyst,"SQL, Excel, Power BI, Tableau, Data Visualization, Statistics","₹4L - ₹12L per year","Deloitte, EY, KPMG, Accenture, Cognizant","Interpret data and turn it into information that offers ways to improve business."
Web Developer,"HTML, CSS, JavaScript, React, Node.js, Bootstrap","₹4L - ₹15L per year","TCS, Infosys, Wipro, Zoho, Freshworks","Build and maintain websites and web applications for users."
ML Engineer,"Python, Scikit-learn, Deep Learning, TensorFlow, Feature Engineering","₹8L - ₹22L per year","Google, Amazon, Samsung, Ola, Paytm","Develop machine learning models and deploy them into production systems."
Cloud Engineer,"AWS, Docker, Kubernetes, Linux, DevOps, Terraform","₹8L - ₹20L per year","Amazon, Microsoft, Google, IBM, Cognizant","Design, build, and manage cloud infrastructure and deployment pipelines."
Cybersecurity Analyst,"Networking, Ethical Hacking, Linux, Firewalls, Python, SIEM","₹6L - ₹18L per year","Wipro, HCL, IBM, Palo Alto Networks, KPMG","Protect systems and networks from cyber threats and vulnerabilities."
Mobile App Developer,"Flutter, Dart, Android, iOS, React Native, Firebase","₹5L - ₹16L per year","Infosys, Zoho, Swiggy, Zomato, Ola","Develop mobile applications for Android and iOS platforms."
DevOps Engineer,"Docker, Kubernetes, CI/CD, Jenkins, Linux, AWS, Git","₹8L - ₹22L per year","Amazon, Flipkart, PhonePe, Microsoft, Accenture","Bridge development and operations to speed up software delivery and reliability."
Database Administrator,"SQL, MySQL, PostgreSQL, Oracle, Database Design, Backup","₹5L - ₹14L per year","TCS, Wipro, Infosys, Oracle, IBM","Manage and maintain databases to ensure performance, security, and availability."
Full Stack Developer,"HTML, CSS, JavaScript, React, Node.js, Python, SQL, APIs","₹6L - ₹18L per year","Freshworks, Zoho, Flipkart, Razorpay, BYJU's","Build both frontend and backend parts of web applications end-to-end."
NLP Engineer,"Python, NLP, Transformers, BERT, Machine Learning, Deep Learning","₹10L - ₹28L per year","Google, Microsoft, Amazon, MuSigma, Fractal","Build systems that understand and generate human language using AI."
Computer Vision Engineer,"Python, OpenCV, Deep Learning, CNN, TensorFlow, Image Processing","₹9L - ₹25L per year","Samsung, Google, Ola, Bosch, ISRO","Develop systems that can interpret and understand visual information from images."
Business Intelligence Developer,"SQL, Power BI, Tableau, Excel, Data Warehousing, ETL","₹5L - ₹15L per year","Deloitte, Accenture, Cognizant, EY, Capgemini","Create dashboards and reports that help businesses make smarter decisions."
React Developer,"React, JavaScript, HTML, CSS, Redux, REST APIs","₹5L - ₹15L per year","Zoho, Freshworks, Razorpay, BYJU's, Meesho","Build fast, interactive user interfaces using the React framework."
Python Developer,"Python, Django, Flask, REST APIs, SQL, Git","₹5L - ₹16L per year","TCS, Infosys, Wipro, Zoho, Freshworks","Develop backend systems, scripts, and automation tools using Python."
Embedded Systems Engineer,"C, C++, Microcontrollers, RTOS, IoT, Circuit Design","₹5L - ₹14L per year","Bosch, Qualcomm, Texas Instruments, ISRO, Tata Elxsi","Design and program software for embedded hardware devices."
Blockchain Developer,"Solidity, Ethereum, Smart Contracts, Cryptography, Python, JavaScript","₹8L - ₹25L per year","Infosys, TCS, IBM, Polygon, CoinDCX","Build decentralized applications and smart contracts on blockchain platforms."
UI/UX Designer,"Figma, Adobe XD, HTML, CSS, User Research, Prototyping","₹4L - ₹14L per year","Zoho, Freshworks, Swiggy, BYJU's, Razorpay","Design intuitive and beautiful user interfaces and experiences for products."
